Date,Open,High,Low,Close,Volume,Adj.Close
2009-09-21,19.47,19.76,19.42,19.54,36132900,19.54
2009-09-18,19.52,19.7,19.37,19.56,53482300,19.56
2009-09-17,19.63,19.89,19.22,19.41,64594100,19.41
2009-09-16,19.7,19.75,19.44,19.65,49427600,19.65
2009-09-15,19.54,19.71,19.36,19.55,48173000,19.55
2009-09-14,19.31,19.49,19.28,19.36,52357900,19.36
2009-09-11,19.9,19.94,19.37,19.51,59398600,19.51
2009-09-10,19.88,20.08,19.65,19.76,49461000,19.76
2009-09-09,19.8,20.15,19.61,19.93,48791600,19.93
2009-09-08,19.88,19.99,19.55,19.8,45582000,19.8
2009-09-04,19.43,19.69,19.28,19.64,47250300,19.64
2009-09-03,19.61,19.63,19.23,19.42,47494100,19.42
2009-09-02,19.62,19.83,19.47,19.47,41572500,19.47
2009-09-01,20.22,20.58,19.66,19.72,74433100,19.72
2009-08-31,20.09,20.38,19.97,20.32,53474800,20.32
2009-08-28,20.26,20.65,20.17,20.25,105102800,20.25
2009-08-27,19.35,19.53,19.16,19.47,51376100,19.47
2009-08-26,19.21,19.49,19.13,19.43,61527900,19.43
2009-08-25,18.76,19.25,18.74,19.1,62017600,19.1
2009-08-24,18.97,19,18.66,18.76,38709600,18.76
2009-08-21,18.89,18.92,18.55,18.89,55163300,18.89
2009-08-20,18.73,18.81,18.56,18.71,44858000,18.71
2009-08-19,18.55,18.89,18.51,18.8,48165500,18.8
2009-08-18,18.5,18.87,18.46,18.77,42464700,18.77
2009-08-17,18.43,18.58,18.41,18.45,48305500,18.45
2009-08-14,18.97,19,18.58,18.77,43573300,18.77
2009-08-13,18.97,19.08,18.78,19.05,44091800,19.05
2009-08-12,18.69,19.09,18.66,18.81,52940100,18.81
2009-08-11,18.7,18.95,18.62,18.64,32772600,18.64
2009-08-10,18.6,18.83,18.56,18.76,46899600,18.76
2009-08-07,18.91,19,18.5,18.5,59429500,18.5
2009-08-06,18.93,19.18,18.56,18.7,66862100,18.7
2009-08-05,19.27,19.3,18.86,18.86,60035000,18.86
2009-08-04,19.21,19.38,19.15,19.32,46880800,19.18
2009-08-03,19.48,19.56,19.18,19.37,44330800,19.23
2009-07-31,19.34,19.56,19.25,19.25,47557600,19.11
2009-07-30,19.57,19.8,19.3,19.33,60640900,19.19
2009-07-29,19.29,19.44,19.11,19.4,50331700,19.26
2009-07-28,19.29,19.46,19.05,19.37,60037100,19.23
2009-07-27,19.29,19.49,19.15,19.47,42326100,19.33
2009-07-24,19.13,19.4,19.01,19.36,51683400,19.22
2009-07-23,19.09,19.58,18.99,19.48,151443300,19.34
2009-07-22,18.87,19.28,18.84,19.14,141096200,19
2009-07-21,18.9,18.92,18.51,18.9,63780400,18.76
2009-07-20,18.86,18.93,18.52,18.9,77865900,18.76
2009-07-17,18.5,18.81,18.25,18.79,84212400,18.65
2009-07-16,17.94,18.59,17.94,18.5,90052900,18.37
2009-07-15,17.99,18.19,17.72,18.05,186137900,17.92
2009-07-14,16.5,16.89,16.46,16.83,95548700,16.71
2009-07-13,16.15,16.54,15.9,16.49,61791800,16.37
2009-07-10,15.98,16.22,15.86,16.04,51148600,15.92
2009-07-09,16.09,16.28,15.96,16.02,65658200,15.9
2009-07-08,16.31,16.36,15.78,15.94,80897100,15.82
2009-07-07,16.83,16.93,16.2,16.25,69194600,16.13
2009-07-06,16.61,16.84,16.37,16.54,47324300,16.42
2009-07-02,16.87,16.95,16.68,16.72,54945500,16.6
2009-07-01,16.67,17.31,16.67,17.04,92515000,16.92
2009-06-30,16.38,16.64,16.24,16.55,67489500,16.43
2009-06-29,16.45,16.66,16.27,16.38,59308200,16.26
2009-06-26,16.18,16.43,16.14,16.29,70252000,16.17
2009-06-25,16.05,16.35,15.91,16.31,55503100,16.19
2009-06-24,16.04,16.32,15.99,16.1,53321600,15.98
2009-06-23,15.88,15.99,15.61,15.81,70659600,15.7
2009-06-22,15.9,16.17,15.63,15.68,70833600,15.57
2009-06-19,16.05,16.18,15.85,16.01,71511000,15.89
2009-06-18,16.16,16.22,15.84,15.87,57990500,15.75
2009-06-17,15.83,16.29,15.81,16.14,59351300,16.02
2009-06-16,16.05,16.19,15.8,15.86,54084700,15.75
2009-06-15,16.05,16.17,15.72,15.98,60420500,15.86
2009-06-12,16.24,16.31,16.02,16.31,47621900,16.19
2009-06-11,16.49,16.7,16.3,16.35,53221200,16.23
2009-06-10,16.58,16.61,16.15,16.46,48782300,16.34
2009-06-09,16.21,16.61,16.13,16.42,64051300,16.3
2009-06-08,15.86,16.1,15.61,15.92,44070000,15.8
2009-06-05,16.3,16.45,15.79,15.92,62834200,15.8
2009-06-04,15.98,16.25,15.88,16.13,49080500,16.01
2009-06-03,15.97,16.04,15.72,15.94,49799000,15.82
2009-06-02,16.25,16.54,16.05,16.19,58397000,16.07
2009-06-01,16.03,16.59,15.97,16.5,75465600,16.38
2009-05-29,15.75,15.79,15.24,15.72,77293300,15.61
2009-05-28,15.56,15.72,15.15,15.72,59109200,15.61
2009-05-27,15.5,15.86,15.34,15.46,60488000,15.35
2009-05-26,15.01,15.51,15,15.48,64342900,15.37
2009-05-22,15.23,15.26,15.01,15.05,44344900,14.94
2009-05-21,15.36,15.43,15.05,15.18,59548500,15.07
2009-05-20,15.81,16.05,15.49,15.58,60337700,15.47
2009-05-19,15.47,15.91,15.27,15.65,59048200,15.54
2009-05-18,15.32,15.55,15.18,15.52,44691600,15.41
2009-05-15,15.54,15.61,15.15,15.19,61813300,15.08
2009-05-14,15.16,15.69,15.15,15.54,71224300,15.43
2009-05-13,15.36,15.47,15.09,15.13,75872500,15.02
2009-05-12,15.49,15.53,15,15.21,73714000,15.1
2009-05-11,15.09,15.63,15,15.37,69490100,15.26
2009-05-08,15.87,15.93,15.2,15.29,94098000,15.18
2009-05-07,16.31,16.37,15.48,15.77,90338200,15.66
2009-05-06,16.43,16.44,15.97,16.12,66328400,16
