Date,Open,High,Low,Close,Volume,Adj.Close
2009-09-21,25.11,25.37,25.1,25.3,28864500,25.3
2009-09-18,25.46,25.48,25.1,25.26,68016500,25.26
2009-09-17,25.06,25.38,25.06,25.3,42428800,25.3
2009-09-16,25.25,25.35,24.95,25.2,50055800,25.2
2009-09-15,24.97,25.27,24.86,25.2,44716600,25.2
2009-09-14,24.65,25.09,24.64,25,42806800,25
2009-09-11,24.93,25.17,24.81,24.86,54303500,24.86
2009-09-10,24.8,25.05,24.65,25,46256000,25
2009-09-09,24.74,24.95,24.67,24.78,49900300,24.78
2009-09-08,24.62,24.84,24.41,24.82,53737100,24.82
2009-09-04,24.09,24.8,24.08,24.62,44999700,24.62
2009-09-03,23.91,24.14,23.76,24.11,34120000,24.11
2009-09-02,23.82,24.14,23.78,23.86,40771300,23.86
2009-09-01,24.35,24.74,23.9,24,62608500,24
2009-08-31,24.57,24.85,24.29,24.65,49592800,24.65
2009-08-28,25.07,25.49,24.61,24.68,55808000,24.68
2009-08-27,24.41,24.78,24.3,24.69,45495600,24.69
2009-08-26,24.59,24.75,24.42,24.55,41079000,24.55
2009-08-25,24.6,24.82,24.46,24.64,43980300,24.64
2009-08-24,24.41,24.73,24.28,24.64,54180900,24.64
2009-08-21,23.93,24.42,23.77,24.41,69011400,24.41
2009-08-20,23.6,23.87,23.54,23.67,39505900,23.67
2009-08-19,23.25,23.72,23.25,23.65,41821300,23.65
2009-08-18,23.29,23.65,23.27,23.58,38878900,23.58
2009-08-17,23.32,23.6,23.23,23.25,42474400,23.12
2009-08-14,23.62,23.8,23.51,23.69,46330200,23.56
2009-08-13,23.63,23.85,23.4,23.62,38954500,23.49
2009-08-12,23.13,23.9,23.03,23.53,61972300,23.4
2009-08-11,23.32,23.4,23.05,23.13,33615800,23
2009-08-10,23.46,23.55,23.3,23.42,35261900,23.29
2009-08-07,23.75,23.82,23.5,23.56,46169700,23.43
2009-08-06,23.93,23.98,23.27,23.46,59686000,23.33
2009-08-05,23.84,24.25,23.79,23.81,53310300,23.68
2009-08-04,23.68,23.79,23.53,23.77,49218300,23.64
2009-08-03,23.82,23.86,23.5,23.83,46902900,23.7
2009-07-31,23.77,24.07,23.5,23.52,54258200,23.39
2009-07-30,24.2,24.43,23.71,23.81,67820000,23.68
2009-07-29,23.73,23.91,23.34,23.8,73626900,23.67
2009-07-28,22.99,23.55,22.9,23.47,70288400,23.34
2009-07-27,23.44,23.45,22.9,23.11,80950000,22.98
2009-07-24,23.61,23.89,22.81,23.45,215135700,23.32
2009-07-23,24.93,25.72,24.84,25.56,106060500,25.42
2009-07-22,24.7,24.9,24.51,24.8,66192500,24.66
2009-07-21,24.69,24.83,24.37,24.83,52028400,24.69
2009-07-20,24.44,24.53,24.15,24.53,47798000,24.39
2009-07-17,24.4,24.45,24.1,24.29,52860100,24.15
2009-07-16,23.93,24.44,23.86,24.44,64555100,24.3
2009-07-15,23.75,24.12,23.56,24.12,67238700,23.99
2009-07-14,23.2,23.22,22.86,23.11,45448700,22.98
2009-07-13,22.42,23.29,22.14,23.23,67584000,23.1
2009-07-10,22.19,22.54,22.15,22.39,43229200,22.26
2009-07-09,22.65,22.81,22.37,22.44,46981200,22.31
2009-07-08,22.31,22.69,22,22.56,73023400,22.43
2009-07-07,23.08,23.14,22.46,22.53,52842500,22.4
2009-07-06,23.21,23.28,22.87,23.2,49207700,23.07
2009-07-02,23.76,24.04,23.21,23.37,65422200,23.24
2009-07-01,24.05,24.3,23.96,24.04,54908400,23.91
2009-06-30,23.97,24.24,23.63,23.77,66452400,23.64
2009-06-29,23.6,24.03,23.55,23.86,62854900,23.73
2009-06-26,23.57,23.69,23.32,23.35,65126400,23.22
2009-06-25,23.43,23.92,23.2,23.79,57724300,23.66
2009-06-24,23.45,23.75,23.36,23.47,54287700,23.34
2009-06-23,23.38,23.66,23.21,23.34,56752700,23.21
2009-06-22,23.95,23.95,23.25,23.28,71291600,23.15
2009-06-19,24.04,24.34,23.75,24.07,115459000,23.94
2009-06-18,23.62,23.69,23.3,23.5,58852200,23.37
2009-06-17,23.5,23.82,23.17,23.68,86483100,23.55
2009-06-16,23.47,24.11,23.44,23.45,105295600,23.32
2009-06-15,23.23,23.54,23.02,23.42,69089600,23.29
2009-06-12,22.9,23.38,22.74,23.33,50963500,23.2
2009-06-11,22.59,23.26,22.57,22.83,65124600,22.7
2009-06-10,22.17,22.62,22.12,22.55,61297200,22.42
2009-06-09,22.06,22.32,21.88,22.08,50887700,21.96
2009-06-08,21.98,22.32,21.63,22.05,49000600,21.93
2009-06-05,21.96,22.31,21.81,22.14,59579200,22.02
2009-06-04,21.77,21.9,21.58,21.83,42330000,21.71
2009-06-03,21.31,21.76,21.29,21.73,56039600,21.61
2009-06-02,21.36,21.98,21.2,21.4,48935700,21.28
2009-06-01,21,21.5,20.86,21.4,57317100,21.28
2009-05-29,20.56,20.94,20.3,20.89,46134900,20.77
2009-05-28,20.32,20.63,20.05,20.45,45480800,20.34
2009-05-27,20.25,20.6,20.07,20.13,42892900,20.02
2009-05-26,19.54,20.45,19.45,20.34,44991700,20.23
2009-05-22,19.93,20.17,19.47,19.75,37318700,19.64
2009-05-21,20.14,20.23,19.51,19.82,58232800,19.71
2009-05-20,20.41,20.69,20.22,20.38,47450700,20.27
2009-05-19,20.51,20.74,20.25,20.31,51368300,20.2
2009-05-18,20.36,20.6,20.24,20.6,46073800,20.36
2009-05-15,20.13,20.5,19.98,20.22,61289900,19.98
2009-05-14,19.83,20.23,19.8,20.06,54539500,19.82
2009-05-13,19.92,20,19.67,19.75,49281700,19.52
2009-05-12,19.51,20.06,19.47,19.89,71966800,19.65
2009-05-11,19.2,19.73,19.01,19.32,63762600,19.09
2009-05-08,19.46,19.64,19.14,19.42,67597600,19.19
2009-05-07,19.96,19.99,19.14,19.32,68727200,19.09
2009-05-06,20.06,20.07,19.61,19.79,59639100,19.56
2009-05-05,20.14,20.24,19.64,19.79,66835500,19.56
2009-05-04,20.37,20.4,19.98,20.19,54313400,19.95
2009-05-01,20.19,20.35,19.86,20.24,63224500,20
2009-04-30,20.6,21.1,20.01,20.26,87439900,20.02
2009-04-29,20.11,20.89,20.06,20.25,79301600,20.01
2009-04-28,20.25,20.27,19.79,19.93,76685200,19.69
2009-04-27,20.55,20.82,20.28,20.4,68219600,20.16
2009-04-24,19.82,21.2,19.5,20.91,168478500,20.66
2009-04-23,18.92,18.94,18.47,18.92,86116300,18.7
2009-04-22,18.76,19.19,18.7,18.78,59401000,18.56
2009-04-21,18.59,19.08,18.57,18.97,60928300,18.74
2009-04-20,18.89,18.95,18.57,18.61,62937200,18.39
2009-04-17,19.69,19.69,19,19.2,61398500,18.97
2009-04-16,19.16,19.78,18.99,19.76,67688700,19.53
2009-04-15,19.21,19.25,18.51,18.83,72725500,18.61
2009-04-14,19.44,19.55,19,19.35,63796300,19.12
2009-04-13,19.69,19.85,19.37,19.59,44444700,19.36
2009-04-09,19.45,19.7,19.22,19.67,55759600,19.44
2009-04-08,18.97,19.62,18.96,19.19,56408900,18.96
2009-04-07,18.76,19.14,18.63,18.76,65815200,18.54
2009-04-06,18.54,18.76,18.27,18.76,47476100,18.54
2009-04-03,19.13,19.15,18.43,18.75,81858400,18.53
2009-04-02,19.5,19.89,19,19.29,99082300,19.06
2009-04-01,18.23,19.36,18.18,19.31,96438900,19.08
2009-03-31,17.83,18.79,17.78,18.37,92095500,18.15
2009-03-30,17.74,17.76,17.27,17.48,49633000,17.27
2009-03-27,18.54,18.62,18.05,18.13,47670400,17.91
2009-03-26,18.17,18.88,18.12,18.83,63775100,18.61
2009-03-25,17.98,18.31,17.52,17.88,73927100,17.67
2009-03-24,18.04,18.21,17.84,17.93,50044100,17.72
2009-03-23,17.37,18.59,17.31,18.33,71600000,18.11
2009-03-20,17.32,17.65,16.88,17.06,81725500,16.86
2009-03-19,17.37,17.45,16.92,17.14,58994600,16.94
2009-03-18,17.03,17.22,16.6,16.96,70710700,16.76
2009-03-17,16.32,16.9,16.26,16.9,62481000,16.7
2009-03-16,16.82,16.96,16.24,16.25,67028900,16.06
2009-03-13,16.98,17.05,16.18,16.65,82965800,16.45
2009-03-12,17.01,17.04,16.48,17.01,93694100,16.81
2009-03-11,16.63,17.2,16.43,17.11,84522200,16.91
2009-03-10,15.37,16.62,15.25,16.48,95184200,16.28
2009-03-09,15.2,15.74,15.1,15.15,66479100,14.97
2009-03-06,15.35,15.62,14.87,15.28,92821400,15.1
2009-03-05,15.86,15.88,15.27,15.27,89708500,15.09
2009-03-04,16.12,16.4,15.89,16.12,69285100,15.93
2009-03-03,16.03,16.24,15.64,15.88,80476600,15.69
2009-03-02,15.96,16.25,15.72,15.79,80602100,15.6
2009-02-27,16.29,16.52,16.1,16.15,93428000,15.96
2009-02-26,17.05,17.08,16.42,16.42,83219500,16.23
2009-02-25,17.01,17.24,16.46,16.96,105894600,16.76
2009-02-24,17.03,17.35,16.36,17.17,122674500,16.97
2009-02-23,18.02,18.15,17.16,17.21,70803400,17.01
2009-02-20,17.77,18.19,17.66,18,69413800,17.79
2009-02-19,18.3,18.38,17.81,17.91,49195600,17.7
2009-02-18,18.22,18.45,18,18.12,54946900,17.9
2009-02-17,18.49,18.5,17.89,18.09,75853300,17.88
2009-02-13,19.27,19.47,19.04,19.09,47416000,18.74
2009-02-12,18.97,19.32,18.54,19.26,75323200,18.9
2009-02-11,18.94,19.49,18.92,19.21,58599000,18.85
2009-02-10,19.25,19.8,18.7,18.8,83953200,18.45
2009-02-09,19.64,19.77,19.26,19.44,52196400,19.08
2009-02-06,19.16,19.93,19.06,19.66,86746000,19.29
2009-02-05,18.51,19.14,18.25,19.04,75195200,18.69
2009-02-04,18.54,19,18.5,18.63,75618000,18.28
2009-02-03,17.85,18.61,17.6,18.5,86865100,18.16
2009-02-02,17.03,18.13,17,17.83,88871700,17.5
2009-01-30,17.74,17.79,17.1,17.1,62370900,16.78
2009-01-29,17.78,17.96,17.56,17.59,49192800,17.26
2009-01-28,17.8,18.31,17.76,18.04,64145500,17.7
2009-01-27,17.78,17.97,17.43,17.66,61695000,17.33
2009-01-26,17.29,17.81,17.23,17.63,92476500,17.3
2009-01-23,16.97,17.49,16.75,17.2,117020600,16.88
2009-01-22,18.05,18.18,17.07,17.11,222436600,16.79
2009-01-21,18.87,19.45,18.46,19.38,68340900,19.02
2009-01-20,19.46,19.62,18.37,18.48,89873000,18.14
2009-01-16,19.63,19.91,19.15,19.71,79634100,19.34
2009-01-15,19.07,19.3,18.52,19.24,96169800,18.88
2009-01-14,19.53,19.68,19.01,19.09,80257500,18.74
2009-01-13,19.52,19.99,19.52,19.82,65843500,19.45
2009-01-12,19.71,19.79,19.3,19.47,52163500,19.11
2009-01-09,20.17,20.3,19.41,19.52,49815300,19.16
2009-01-08,19.63,20.19,19.55,20.12,70229900,19.75
2009-01-07,20.19,20.29,19.48,19.51,72709900,19.15
2009-01-06,20.75,21,20.61,20.76,58083400,20.37
2009-01-05,20.2,20.67,20.06,20.52,61475200,20.14
2009-01-02,19.53,20.4,19.37,20.33,50084000,19.95
2008-12-31,19.31,19.68,19.27,19.44,46419000,19.08
2008-12-30,19.01,19.49,19,19.34,43224100,18.98
2008-12-29,19.15,19.21,18.64,18.96,58512800,18.61
2008-12-26,19.2,19.33,19.09,19.13,23101000,18.77
2008-12-24,19.26,19.45,19.1,19.17,16880400,18.81
2008-12-23,19.28,19.57,19.01,19.28,47511400,18.92
2008-12-22,19.24,19.29,18.89,19.18,58575400,18.82
2008-12-19,19.42,19.8,19.11,19.12,113530400,18.76
2008-12-18,19.86,20.02,18.99,19.3,80759200,18.94
2008-12-17,19.81,20.05,19.5,19.66,78922700,19.29
2008-12-16,19.21,20.18,19,20.11,97688700,19.74
2008-12-15,19.34,19.44,18.89,19.04,59925900,18.69
2008-12-12,19.15,19.85,18.7,19.36,78112600,19
2008-12-11,20.11,20.12,19.31,19.45,83564300,19.09
2008-12-10,20.82,20.96,20.3,20.61,61499000,20.23
2008-12-09,20.62,21.25,20.46,20.6,80484900,20.22
2008-12-08,20.35,21.25,20.14,21.01,107225000,20.62
2008-12-05,18.91,19.98,18.47,19.87,91996200,19.5
2008-12-04,19.4,19.92,18.79,19.11,78719200,18.75
2008-12-03,18.65,19.9,18.6,19.87,80961500,19.5
2008-12-02,18.99,19.31,18.56,19.15,79689800,18.79
2008-12-01,19.88,19.95,18.6,18.61,79639900,18.26
2008-11-28,20.23,20.31,20.02,20.22,28650800,19.84
2008-11-26,19.73,20.68,19.73,20.49,79678300,20.11
2008-11-25,20.86,20.93,19.55,19.99,92948100,19.62
2008-11-24,19.89,20.94,19.87,20.69,125289900,20.31
2008-11-21,18.02,19.7,17.98,19.68,157231900,19.31
2008-11-20,18.12,18.84,17.5,17.53,139532800,17.2
2008-11-19,19.63,19.95,18.25,18.29,103010500,17.95
2008-11-18,19.5,19.66,18.75,19.62,108966500,19.26
2008-11-17,19.74,20.24,19.15,19.32,97289000,18.83
2008-11-14,20.56,21.34,19.65,20.06,96624500,19.55
2008-11-13,20.15,21.25,18.74,21.25,148413700,20.71
2008-11-12,20.89,21,20.28,20.3,90162300,19.79
2008-11-11,21.29,21.3,20.79,21.2,78014500,20.67
2008-11-10,21.85,21.97,21.19,21.3,67106800,20.76
2008-11-07,21.32,21.54,21,21.5,71256300,20.96
2008-11-06,21.87,22.08,20.86,20.88,95509700,20.35
2008-11-05,23.33,23.34,22.05,22.08,81179700,21.52
2008-11-04,23.13,23.66,22.87,23.53,72123000,22.94
2008-11-03,22.48,22.91,22.21,22.62,61923500,22.05
2008-10-31,22.53,22.91,22.12,22.33,93055200,21.77
2008-10-30,23.69,23.88,22.39,22.63,95323000,22.06
2008-10-29,23.13,23.97,22.7,23,111701800,22.42
2008-10-28,21.64,23.21,21.34,23.1,134088800,22.52
2008-10-27,21.67,21.96,21.02,21.18,117683900,20.65
2008-10-24,21.06,22.86,20.95,21.96,153919700,21.41
2008-10-23,21.55,22.59,20.89,22.32,154774100,21.76
2008-10-22,23.04,23.06,20.9,21.53,150054800,20.99
2008-10-21,24.3,25.01,23.27,23.36,100385600,22.77
2008-10-20,24.2,24.75,23.01,24.72,93484300,24.1
2008-10-17,23.57,25.11,23.31,23.93,133673100,23.33
2008-10-16,22.94,24.19,21.31,24.19,161147800,23.58
2008-10-15,23.78,24.25,22.48,22.66,113280200,22.09
2008-10-14,25.64,25.73,23.6,24.1,165674900,23.49
2008-10-13,22.86,25.5,22.63,25.5,144935400,24.86
2008-10-10,21.79,22.35,20.65,21.5,228467500,20.96
2008-10-09,23.77,23.91,22.07,22.3,131948700,21.74
2008-10-08,22.9,24.3,22.5,23.01,171598600,22.43
2008-10-07,24.98,25.21,23.14,23.23,145941200,22.64
2008-10-06,25.63,25.99,24.14,24.91,146374600,24.28
2008-10-03,26.37,27.47,26.24,26.32,114289400,25.66
2008-10-02,26.18,26.53,25.7,26.25,93819800,25.59
2008-10-01,26.38,26.99,26.28,26.48,88957000,25.81
2008-09-30,25.77,26.69,25.54,26.69,107192700,26.02
2008-09-29,26.94,27.66,25.01,25.01,134383100,24.38
2008-09-26,26.17,27.56,26.14,27.4,100744300,26.71
2008-09-25,25.82,26.88,25.74,26.61,96203500,25.94
2008-09-24,25.58,26.09,25.46,25.72,80250300,25.07
2008-09-23,25.66,26.17,25.34,25.44,92181300,24.8
2008-09-22,26.22,26.32,25.32,25.4,105207700,24.76
